access_id,timestamp,user_id,username,department,data_asset,data_sensitivity,query_type,rowcount,access_method,destination,status,anomaly_marker
ACC-000135,2026-04-02 09:18:00,USR-0046,user.0046,Engineering,Payroll,low,EXPORT,793,API,internal_share,success,
ACC-000351,2026-04-02 09:42:00,USR-0080,user.0080,Sales,GL_Ledger,low,EXPORT,254,BI_Tool,internal_share,success,
ACC-001191,2026-04-02 10:02:00,USR-0093,user.0093,HR,Payroll,low,EXPORT,619,SQL,local_workstation,success,
ACC-000401,2026-04-02 10:04:00,USR-0043,user.0043,Marketing,Marketing_Assets,low,SELECT,2754,BI_Tool,internal_share,success,
ACC-000144,2026-04-02 10:12:00,USR-0032,user.0032,Sales,PII_Database,low,SELECT,404,BI_Tool,local_workstation,success,
ACC-001328,2026-04-02 10:22:00,USR-0082,user.0082,Marketing,Customer_DB,low,SELECT,77,API,local_workstation,success,
ACC-000578,2026-04-02 10:27:00,USR-0050,user.0050,Finance,PII_Database,medium,API,258,API,internal_share,success,
ACC-000358,2026-04-02 10:52:00,USR-0060,user.0060,IT,PII_Database,low,EXPORT,174,BI_Tool,local_workstation,success,
ACC-001326,2026-04-02 10:55:00,USR-0063,user.0063,IT,Source_Code,medium,API,37898,BI_Tool,external_email,success,FLIGHT_RISK_EXFILTRATION
ACC-001485,2026-04-02 11:09:00,USR-0052,user.0052,Marketing,Payroll,low,API,348,API,internal_share,success,
ACC-000744,2026-04-02 11:40:00,USR-0098,user.0098,Engineering,Customer_DB,low,API,133,BI_Tool,internal_share,success,
ACC-000444,2026-04-02 11:40:00,USR-0077,user.0077,Marketing,Marketing_Assets,medium,EXPORT,167,SQL,local_workstation,success,
ACC-000056,2026-04-02 11:47:00,USR-0034,user.0034,Engineering,Payroll,low,EXPORT,73,API,local_workstation,success,
ACC-000803,2026-04-02 11:57:00,USR-0098,user.0098,Engineering,PII_Database,medium,API,151,BI_Tool,cloud_storage,success,
ACC-001419,2026-04-02 12:11:00,USR-0081,user.0081,Engineering,Customer_DB,medium,SELECT,376,BI_Tool,internal_share,success,
ACC-000830,2026-04-02 12:15:00,USR-0016,user.0016,IT,Marketing_Assets,low,EXPORT,488,SQL,local_workstation,success,
ACC-000137,2026-04-02 12:23:00,USR-0052,user.0052,Marketing,Marketing_Assets,low,EXPORT,333,API,local_workstation,success,
ACC-000072,2026-04-02 12:25:00,USR-0040,user.0040,Finance,Customer_DB,low,SELECT,589,BI_Tool,local_workstation,success,
ACC-001071,2026-04-02 12:44:00,USR-0083,user.0083,IT,Source_Code,medium,EXPORT,473,SQL,local_workstation,success,
ACC-001215,2026-04-02 13:16:00,USR-0030,user.0030,Marketing,Marketing_Assets,medium,API,93,SQL,internal_share,success,
ACC-000181,2026-04-02 13:24:00,USR-0025,user.0025,IT,Customer_DB,medium,API,185,API,internal_share,success,
ACC-000128,2026-04-02 13:41:00,USR-0011,user.0011,HR,GL_Ledger,low,EXPORT,300,API,local_workstation,success,
ACC-001161,2026-04-02 13:53:00,USR-0011,user.0011,HR,Source_Code,low,API,628,BI_Tool,local_workstation,success,
ACC-001203,2026-04-02 13:54:00,USR-0011,user.0011,HR,Payroll,medium,EXPORT,469,SQL,local_workstation,success,
ACC-000795,2026-04-02 13:57:00,USR-0099,user.0099,IT,PII_Database,low,SELECT,74,API,internal_share,success,
ACC-000309,2026-04-02 14:00:00,USR-0020,user.0020,Finance,Marketing_Assets,low,EXPORT,1508,SQL,local_workstation,success,
ACC-000501,2026-04-02 14:14:00,USR-0033,user.0033,Engineering,Customer_DB,medium,API,640,BI_Tool,local_workstation,success,
ACC-000053,2026-04-02 14:15:00,USR-0003,user.0003,Finance,Marketing_Assets,low,SELECT,110,API,internal_share,success,
ACC-000831,2026-04-02 14:29:00,USR-0035,user.0035,Sales,PII_Database,low,SELECT,299,SQL,local_workstation,success,
ACC-000035,2026-04-02 14:50:00,USR-0004,user.0004,Sales,Customer_DB,low,API,266,BI_Tool,local_workstation,success,
ACC-001200,2026-04-02 14:57:00,USR-0014,user.0014,Sales,GL_Ledger,low,SELECT,249,SQL,cloud_storage,success,
ACC-000513,2026-04-02 15:05:00,USR-0039,user.0039,HR,Payroll,low,EXPORT,1563,SQL,cloud_storage,success,
ACC-000387,2026-04-02 15:24:00,USR-0086,user.0086,Sales,Marketing_Assets,low,SELECT,18,SQL,internal_share,success,
ACC-000620,2026-04-02 15:24:00,USR-0100,user.0100,HR,Source_Code,medium,SELECT,52,BI_Tool,local_workstation,success,
ACC-001495,2026-04-02 15:24:00,USR-0083,user.0083,IT,Customer_DB,low,API,233,SQL,local_workstation,success,
ACC-000457,2026-04-02 15:30:00,USR-0017,user.0017,HR,PII_Database,low,SELECT,1419,BI_Tool,local_workstation,success,
ACC-000143,2026-04-02 16:10:00,USR-0093,user.0093,HR,Payroll,low,SELECT,637,API,internal_share,success,
ACC-000572,2026-04-02 16:24:00,USR-0093,user.0093,HR,GL_Ledger,low,API,754,API,local_workstation,success,
ACC-001116,2026-04-02 16:31:00,USR-0026,user.0026,Marketing,Payroll,low,SELECT,112,API,local_workstation,success,
ACC-000082,2026-04-03 00:29:00,USR-0065,user.0065,Engineering,Marketing_Assets,restricted,API,211220,BI_Tool,personal_usb,success,NIGHT_BULK_EXPORT_CRITICAL
ACC-000012,2026-04-03 04:15:00,USR-0085,user.0085,HR,Source_Code,low,SELECT,50796,SQL,cloud_storage,success,OFF_HOURS_BULK_EXPORT
ACC-000009,2026-04-03 09:09:00,USR-0063,user.0063,IT,Customer_DB,low,SELECT,398,API,local_workstation,success,
ACC-000305,2026-04-03 09:18:00,USR-0058,user.0058,Marketing,Source_Code,low,SELECT,379,BI_Tool,local_workstation,success,
ACC-001097,2026-04-03 09:27:00,USR-0012,user.0012,Engineering,Marketing_Assets,low,API,383,API,internal_share,success,
ACC-000813,2026-04-03 09:27:00,USR-0011,user.0011,HR,Source_Code,low,API,587,API,local_workstation,success,
ACC-000251,2026-04-03 09:39:00,USR-0019,user.0019,Marketing,PII_Database,low,API,315,SQL,local_workstation,success,
ACC-000654,2026-04-03 09:44:00,USR-0031,user.0031,Engineering,Source_Code,low,SELECT,826,API,cloud_storage,success,
ACC-000443,2026-04-03 09:46:00,USR-0048,user.0048,Sales,Marketing_Assets,low,EXPORT,89,API,cloud_storage,success,
ACC-001430,2026-04-03 09:48:00,USR-0077,user.0077,Marketing,Customer_DB,medium,EXPORT,152,SQL,local_workstation,success,
ACC-000415,2026-04-03 09:54:00,USR-0094,user.0094,HR,Payroll,low,API,791,SQL,local_workstation,success,
ACC-000204,2026-04-03 10:17:00,USR-0092,user.0092,HR,PII_Database,low,EXPORT,26,BI_Tool,internal_share,success,
ACC-001393,2026-04-03 10:36:00,USR-0082,user.0082,Marketing,Customer_DB,low,API,37,SQL,local_workstation,success,
ACC-000588,2026-04-03 10:43:00,USR-0052,user.0052,Marketing,Payroll,low,API,416,API,internal_share,success,
ACC-000856,2026-04-03 11:03:00,USR-0089,user.0089,HR,PII_Database,low,EXPORT,984,SQL,local_workstation,success,
ACC-001031,2026-04-03 11:04:00,USR-0025,user.0025,IT,Payroll,low,SELECT,146,API,local_workstation,success,
ACC-000606,2026-04-03 11:32:00,USR-0063,user.0063,IT,Marketing_Assets,low,EXPORT,354,BI_Tool,internal_share,success,
ACC-000922,2026-04-03 12:03:00,USR-0063,user.0063,IT,GL_Ledger,low,SELECT,696,API,local_workstation,success,
ACC-000001,2026-04-03 12:46:00,USR-0025,user.0025,IT,Payroll,low,API,143,API,local_workstation,success,
ACC-001209,2026-04-03 12:49:00,USR-0036,user.0036,Finance,Marketing_Assets,low,EXPORT,349,BI_Tool,local_workstation,success,
ACC-000589,2026-04-03 12:52:00,USR-0008,user.0008,HR,GL_Ledger,low,SELECT,30,API,local_workstation,success,
ACC-000909,2026-04-03 12:56:00,USR-0086,user.0086,Sales,PII_Database,low,SELECT,11,SQL,internal_share,success,
ACC-000547,2026-04-03 13:20:00,USR-0059,user.0059,Finance,PII_Database,low,API,572,SQL,cloud_storage,success,
ACC-000981,2026-04-03 13:40:00,USR-0027,user.0027,Marketing,PII_Database,low,API,485,API,local_workstation,success,
ACC-000844,2026-04-03 13:51:00,USR-0025,user.0025,IT,Source_Code,low,SELECT,192,BI_Tool,local_workstation,success,
ACC-000414,2026-04-03 13:54:00,USR-0078,user.0078,Finance,PII_Database,low,API,67,SQL,internal_share,success,
ACC-000881,2026-04-03 13:59:00,USR-0083,user.0083,IT,Marketing_Assets,low,SELECT,260,BI_Tool,local_workstation,success,
ACC-001452,2026-04-03 14:14:00,USR-0073,user.0073,HR,PII_Database,low,EXPORT,881,SQL,local_workstation,success,
ACC-001436,2026-04-03 14:15:00,USR-0014,user.0014,Sales,Payroll,medium,EXPORT,375,SQL,internal_share,success,
ACC-000021,2026-04-03 14:16:00,USR-0059,user.0059,Finance,Marketing_Assets,low,SELECT,395,API,cloud_storage,success,
ACC-000743,2026-04-03 14:26:00,USR-0065,user.0065,Engineering,Payroll,low,API,221,SQL,internal_share,success,
ACC-000685,2026-04-03 14:37:00,USR-0064,user.0064,Finance,PII_Database,low,EXPORT,742,API,local_workstation,success,
ACC-001400,2026-04-03 14:55:00,USR-0045,user.0045,IT,Source_Code,low,SELECT,366,BI_Tool,local_workstation,success,
ACC-001434,2026-04-03 14:56:00,USR-0020,user.0020,Finance,Source_Code,low,SELECT,1255,API,cloud_storage,success,
ACC-001260,2026-04-03 15:01:00,USR-0010,user.0010,Engineering,Customer_DB,low,SELECT,476,API,internal_share,success,
ACC-000034,2026-04-03 15:06:00,USR-0096,user.0096,IT,Customer_DB,low,API,2690,BI_Tool,internal_share,success,
ACC-000677,2026-04-03 15:12:00,USR-0086,user.0086,Sales,GL_Ledger,low,API,19,BI_Tool,internal_share,success,
ACC-000890,2026-04-03 15:12:00,USR-0051,user.0051,IT,PII_Database,medium,EXPORT,87,SQL,local_workstation,success,
ACC-000113,2026-04-03 15:23:00,USR-0008,user.0008,HR,GL_Ledger,low,SELECT,47,API,internal_share,success,
ACC-001227,2026-04-03 15:26:00,USR-0016,user.0016,IT,Customer_DB,low,SELECT,391,BI_Tool,local_workstation,success,
ACC-001190,2026-04-03 15:38:00,USR-0045,user.0045,IT,Payroll,medium,SELECT,556,BI_Tool,cloud_storage,success,
ACC-000526,2026-04-03 15:42:00,USR-0002,user.0002,Sales,GL_Ledger,low,SELECT,468,BI_Tool,internal_share,success,
ACC-000694,2026-04-03 15:44:00,USR-0017,user.0017,HR,Payroll,low,EXPORT,1245,SQL,local_workstation,success,
ACC-000772,2026-04-03 15:51:00,USR-0055,user.0055,IT,GL_Ledger,low,SELECT,160,API,local_workstation,success,
ACC-001292,2026-04-03 15:53:00,USR-0017,user.0017,HR,GL_Ledger,low,EXPORT,1326,SQL,local_workstation,success,
ACC-000664,2026-04-03 15:57:00,USR-0012,user.0012,Engineering,Customer_DB,low,EXPORT,508,SQL,cloud_storage,success,
ACC-001491,2026-04-03 16:12:00,USR-0026,user.0026,Marketing,GL_Ledger,low,SELECT,129,SQL,cloud_storage,success,
ACC-000558,2026-04-03 16:46:00,USR-0100,user.0100,HR,Source_Code,restricted,EXPORT,5940,API,external_email,success,INTERN_RESTRICTED_ACCESS
ACC-000569,2026-04-03 16:56:00,USR-0054,user.0054,Finance,Customer_DB,restricted,SELECT,543,BI_Tool,external_email,success,INTERN_RESTRICTED_ACCESS
ACC-001102,2026-04-04 03:50:00,USR-0051,user.0051,IT,Source_Code,restricted,API,148370,BI_Tool,personal_usb,success,NIGHT_BULK_EXPORT_CRITICAL
ACC-001354,2026-04-04 05:28:00,USR-0069,user.0069,Finance,GL_Ledger,low,EXPORT,70381,BI_Tool,cloud_storage,success,OFF_HOURS_BULK_EXPORT
ACC-000063,2026-04-04 05:51:00,USR-0056,user.0056,IT,Payroll,medium,EXPORT,28010,API,cloud_storage,success,OFF_HOURS_BULK_EXPORT
ACC-001231,2026-04-04 09:04:00,USR-0079,user.0079,Sales,Payroll,low,API,995,BI_Tool,local_workstation,success,
ACC-000218,2026-04-04 09:06:00,USR-0056,user.0056,IT,Marketing_Assets,low,API,160,API,local_workstation,success,
ACC-000672,2026-04-04 09:25:00,USR-0039,user.0039,HR,Source_Code,medium,SELECT,1747,SQL,internal_share,success,
ACC-000174,2026-04-04 09:28:00,USR-0009,user.0009,Engineering,PII_Database,low,SELECT,846,BI_Tool,internal_share,success,
ACC-000500,2026-04-04 09:36:00,USR-0025,user.0025,IT,Marketing_Assets,low,API,180,API,local_workstation,success,
ACC-001013,2026-04-04 09:43:00,USR-0015,user.0015,Finance,PII_Database,low,EXPORT,14,API,internal_share,success,
ACC-000695,2026-04-04 09:50:00,USR-0026,user.0026,Marketing,Source_Code,low,SELECT,238,SQL,local_workstation,success,
ACC-000644,2026-04-04 09:59:00,USR-0006,user.0006,IT,Marketing_Assets,low,SELECT,408,SQL,local_workstation,success,
ACC-000205,2026-04-04 10:00:00,USR-0047,user.0047,IT,GL_Ledger,low,SELECT,53,SQL,local_workstation,success,
ACC-001101,2026-04-04 10:09:00,USR-0077,user.0077,Marketing,Payroll,low,EXPORT,131,SQL,internal_share,success,
ACC-000824,2026-04-04 10:12:00,USR-0083,user.0083,IT,Marketing_Assets,low,API,520,SQL,local_workstation,success,
ACC-000049,2026-04-04 10:15:00,USR-0064,user.0064,Finance,PII_Database,low,API,1050,API,local_workstation,success,
ACC-001143,2026-04-04 10:19:00,USR-0100,user.0100,HR,Source_Code,low,API,82,BI_Tool,local_workstation,success,
ACC-000111,2026-04-04 10:20:00,USR-0042,user.0042,Finance,Payroll,low,SELECT,1081,API,local_workstation,success,
ACC-000817,2026-04-04 10:23:00,USR-0053,user.0053,Engineering,Source_Code,low,EXPORT,789,BI_Tool,local_workstation,success,
ACC-000359,2026-04-04 10:54:00,USR-0095,user.0095,Marketing,PII_Database,medium,API,266,SQL,local_workstation,success,
ACC-001062,2026-04-04 11:01:00,USR-0065,user.0065,Engineering,GL_Ledger,low,EXPORT,218,SQL,local_workstation,success,
ACC-000891,2026-04-04 11:02:00,USR-0076,user.0076,Finance,Source_Code,restricted,SELECT,1388,SQL,external_email,success,INTERN_RESTRICTED_ACCESS
ACC-000282,2026-04-04 11:07:00,USR-0060,user.0060,IT,Customer_DB,medium,SELECT,132,BI_Tool,internal_share,success,
ACC-000210,2026-04-04 11:19:00,USR-0059,user.0059,Finance,Payroll,medium,EXPORT,243,BI_Tool,local_workstation,success,
ACC-000020,2026-04-04 11:21:00,USR-0086,user.0086,Sales,Payroll,low,API,18,SQL,local_workstation,success,
ACC-001131,2026-04-04 11:29:00,USR-0083,user.0083,IT,Payroll,low,SELECT,492,BI_Tool,internal_share,success,
ACC-000432,2026-04-04 11:30:00,USR-0078,user.0078,Finance,Marketing_Assets,medium,API,71,SQL,local_workstation,success,
ACC-001489,2026-04-04 11:57:00,USR-0015,user.0015,Finance,Customer_DB,low,API,18,BI_Tool,local_workstation,success,
ACC-001038,2026-04-04 12:06:00,USR-0022,user.0022,Marketing,Source_Code,low,SELECT,1524,BI_Tool,local_workstation,success,
ACC-000911,2026-04-04 12:13:00,USR-0055,user.0055,IT,PII_Database,low,EXPORT,112,SQL,local_workstation,success,
ACC-000943,2026-04-04 12:33:00,USR-0006,user.0006,IT,Source_Code,low,EXPORT,508,BI_Tool,local_workstation,success,
ACC-001332,2026-04-04 12:36:00,USR-0034,user.0034,Engineering,Source_Code,low,API,13200,BI_Tool,external_email,success,FLIGHT_RISK_EXFILTRATION
ACC-001371,2026-04-04 12:38:00,USR-0002,user.0002,Sales,PII_Database,low,SELECT,39008,API,external_email,success,FLIGHT_RISK_EXFILTRATION
ACC-001036,2026-04-04 13:06:00,USR-0002,user.0002,Sales,Payroll,low,EXPORT,24855,SQL,external_email,success,FLIGHT_RISK_EXFILTRATION
ACC-000354,2026-04-04 13:07:00,USR-0080,user.0080,Sales,Source_Code,low,API,538,SQL,local_workstation,success,
ACC-000220,2026-04-04 13:26:00,USR-0062,user.0062,Engineering,PII_Database,medium,SELECT,73,BI_Tool,local_workstation,success,
ACC-000352,2026-04-04 13:30:00,USR-0049,user.0049,Marketing,GL_Ledger,low,EXPORT,90,BI_Tool,local_workstation,success,
ACC-000353,2026-04-04 13:39:00,USR-0085,user.0085,HR,GL_Ledger,medium,API,633,API,local_workstation,success,
ACC-000374,2026-04-04 13:39:00,USR-0053,user.0053,Engineering,Customer_DB,medium,EXPORT,512,SQL,local_workstation,success,
ACC-001262,2026-04-04 13:41:00,USR-0026,user.0026,Marketing,Customer_DB,low,EXPORT,221,API,local_workstation,success,
ACC-001437,2026-04-04 13:53:00,USR-0082,user.0082,Marketing,Marketing_Assets,low,EXPORT,77,BI_Tool,local_workstation,success,
ACC-000319,2026-04-04 13:55:00,USR-0100,user.0100,HR,Payroll,low,API,65,BI_Tool,local_workstation,success,
ACC-000250,2026-04-04 14:23:00,USR-0014,user.0014,Sales,Customer_DB,low,API,378,API,local_workstation,success,
ACC-000914,2026-04-04 14:40:00,USR-0033,user.0033,Engineering,PII_Database,medium,SELECT,692,BI_Tool,internal_share,success,
ACC-001352,2026-04-04 14:55:00,USR-0083,user.0083,IT,GL_Ledger,low,SELECT,508,API,local_workstation,success,
ACC-001170,2026-04-04 15:00:00,USR-0059,user.0059,Finance,PII_Database,low,API,518,BI_Tool,local_workstation,success,
ACC-000370,2026-04-04 15:26:00,USR-0003,user.0003,Finance,Marketing_Assets,medium,API,39,API,local_workstation,success,
ACC-001321,2026-04-04 15:51:00,USR-0094,user.0094,HR,Marketing_Assets,low,EXPORT,1027,API,local_workstation,success,
ACC-001096,2026-04-04 15:53:00,USR-0065,user.0065,Engineering,Customer_DB,medium,EXPORT,253,SQL,cloud_storage,success,
ACC-000245,2026-04-04 16:01:00,USR-0006,user.0006,IT,GL_Ledger,low,EXPORT,245,SQL,internal_share,success,
ACC-001194,2026-04-04 16:07:00,USR-0018,user.0018,IT,Customer_DB,low,EXPORT,839,BI_Tool,cloud_storage,success,
ACC-000616,2026-04-04 16:22:00,USR-0068,user.0068,IT,GL_Ledger,low,API,3595,SQL,local_workstation,success,
ACC-000057,2026-04-04 16:32:00,USR-0076,user.0076,Finance,PII_Database,low,API,46,BI_Tool,internal_share,success,
ACC-000788,2026-04-04 16:39:00,USR-0061,user.0061,HR,GL_Ledger,low,SELECT,1408,BI_Tool,local_workstation,success,
ACC-000548,2026-04-04 16:40:00,USR-0012,user.0012,Engineering,Marketing_Assets,low,API,646,SQL,local_workstation,success,
ACC-000183,2026-04-04 16:58:00,USR-0095,user.0095,Marketing,Customer_DB,low,API,157,BI_Tool,internal_share,success,
ACC-001497,2026-04-05 01:03:00,USR-0021,user.0021,Marketing,Source_Code,restricted,EXPORT,239813,SQL,personal_usb,success,NIGHT_BULK_EXPORT_CRITICAL
ACC-000059,2026-04-05 04:08:00,USR-0078,user.0078,Finance,Source_Code,low,EXPORT,54770,API,cloud_storage,success,OFF_HOURS_BULK_EXPORT
ACC-001017,2026-04-05 09:08:00,USR-0093,user.0093,HR,Marketing_Assets,low,EXPORT,430,BI_Tool,local_workstation,success,
ACC-000483,2026-04-05 09:34:00,USR-0003,user.0003,Finance,Customer_DB,low,API,38,BI_Tool,cloud_storage,success,
ACC-001233,2026-04-05 09:37:00,USR-0011,user.0011,HR,Source_Code,low,EXPORT,462,SQL,internal_share,success,
ACC-000959,2026-04-05 09:38:00,USR-0037,user.0037,Sales,Source_Code,low,API,519,API,local_workstation,success,
ACC-001032,2026-04-05 09:38:00,USR-0068,user.0068,IT,GL_Ledger,low,API,2997,SQL,local_workstation,success,
ACC-001047,2026-04-05 10:03:00,USR-0061,user.0061,HR,Customer_DB,medium,EXPORT,1381,BI_Tool,local_workstation,success,
ACC-001004,2026-04-05 10:06:00,USR-0050,user.0050,Finance,GL_Ledger,low,API,374,SQL,local_workstation,success,
ACC-000680,2026-04-05 10:09:00,USR-0054,user.0054,Finance,Source_Code,medium,SELECT,62,API,local_workstation,success,
ACC-000878,2026-04-05 10:18:00,USR-0011,user.0011,HR,Payroll,low,API,399,API,local_workstation,success,
ACC-000440,2026-04-05 10:47:00,USR-0095,user.0095,Marketing,GL_Ledger,medium,SELECT,154,API,internal_share,success,
ACC-000580,2026-04-05 10:52:00,USR-0073,user.0073,HR,Source_Code,low,API,1217,API,internal_share,success,
ACC-000575,2026-04-05 11:17:00,USR-0035,user.0035,Sales,GL_Ledger,low,SELECT,174,API,cloud_storage,success,
ACC-000166,2026-04-05 11:20:00,USR-0069,user.0069,Finance,PII_Database,low,API,70,BI_Tool,local_workstation,success,
ACC-000475,2026-04-05 11:37:00,USR-0057,user.0057,Marketing,Marketing_Assets,low,EXPORT,961,API,internal_share,success,
ACC-001329,2026-04-05 11:40:00,USR-0013,user.0013,Marketing,Payroll,low,API,215,API,internal_share,success,
